second,bot,staleness_ms_p50,staleness_ms_p95,staleness_ms_max,recv_rate,send_rate
216,botB,0.351,1.712,1.79,36,36
217,botA,0.259,0.694,1.507,36,36
217,botB,0.285,0.773,1.725,36,36
218,botA,0.26,0.801,1.54,36,36
218,botB,0.234,0.623,1.388,36,36
219,botA,0.224,0.667,1.606,36,36
219,botB,0.284,0.721,1.454,36,36
220,botA,0.275,0.907,1.649,36,36
220,botB,0.346,0.894,1.861,36,36
221,botA,0.24,1.475,1.577,36,36
221,botB,0.285,0.34,0.383,36,36
222,botA,0.235,0.396,0.627,36,34
222,botB,0.298,0.795,1.436,34,36
223,botA,0.271,0.796,2.085,36,38
223,botB,0.292,0.601,1.82,38,36
224,botA,0.231,0.634,1.532,36,36
224,botB,0.305,0.807,1.757,36,36
225,botA,0.26,0.751,1.617,36,36
225,botB,0.309,0.935,1.718,36,36
226,botA,0.26,0.657,1.337,36,36
226,botB,0.268,0.68,1.721,36,36
227,botA,0.261,1.316,1.545,36,36
227,botB,0.281,0.704,1.438,36,36
228,botA,0.237,1.564,1.642,36,36
228,botB,0.259,0.355,0.441,36,36
229,botA,0.229,0.676,1.557,36,36
229,botB,0.246,0.639,1.412,36,36
230,botA,0.228,0.739,1.605,36,36
230,botB,0.277,0.693,1.479,36,36
231,botA,0.242,0.36,0.408,36,36
231,botB,0.309,1.609,1.77,36,36
232,botA,0.355,1.708,1.879,36,36
232,botB,0.346,0.723,0.84,36,36
233,botA,0.33,0.767,1.534,36,36
233,botB,0.414,0.916,1.612,36,36
234,botA,0.302,0.915,1.733,36,36
234,botB,0.307,0.825,1.717,36,36
235,botA,0.283,1.547,1.652,36,36
235,botB,0.311,0.518,0.535,36,36
236,botA,0.226,0.279,0.335,36,36
236,botB,0.273,1.364,1.43,36,36
237,botA,0.224,0.571,1.414,36,36
237,botB,0.283,0.815,1.611,36,36
238,botA,0.306,0.885,1.535,36,36
238,botB,0.301,0.963,1.64,34,36
239,botA,0.292,0.783,1.728,36,36
239,botB,0.358,0.711,1.585,38,36
240,botA,0.251,0.624,1.491,36,36
240,botB,0.3,0.754,1.525,36,36
241,botA,0.299,1.012,1.634,36,36
241,botB,0.379,0.978,1.565,34,36
242,botA,0.242,0.689,1.522,36,36
242,botB,0.289,0.603,1.404,38,36
243,botA,0.204,0.885,1.533,36,36
243,botB,0.262,0.639,1.649,36,36
244,botA,0.2,0.621,1.632,36,36
244,botB,0.243,0.635,1.506,36,36
245,botA,0.218,1.678,1.758,36,36
245,botB,0.238,0.301,0.32,36,36
246,botA,0.24,0.689,1.625,36,36
246,botB,0.286,0.695,1.447,36,36
247,botA,0.233,0.626,1.602,36,36
247,botB,0.257,0.643,1.639,36,36
248,botA,0.276,1.511,1.658,36,36
248,botB,0.292,0.504,0.556,36,36
249,botA,0.293,0.765,1.724,36,36
249,botB,0.341,0.729,1.521,36,36
250,botA,0.22,1.443,1.532,36,36
250,botB,0.246,0.37,0.422,36,36
251,botA,0.232,0.796,1.796,36,36
251,botB,0.268,0.981,1.599,36,36
252,botA,0.218,0.717,1.469,36,36
252,botB,0.246,0.664,1.553,36,36
253,botA,0.265,0.728,1.638,36,36
253,botB,0.291,0.731,1.608,36,36
254,botA,0.238,0.632,1.338,36,36
254,botB,0.258,0.709,1.602,36,36
255,botA,0.301,1.025,1.512,36,36
255,botB,0.301,0.794,1.439,36,36
256,botA,0.267,0.405,0.479,36,36
256,botB,0.363,0.893,1.691,36,36
257,botA,0.239,1.613,1.708,36,36
257,botB,0.257,0.342,0.355,36,36
258,botA,0.223,0.282,0.439,36,36
258,botB,0.279,1.404,1.443,36,36
259,botA,0.233,1.674,1.819,36,36
259,botB,0.265,0.427,0.595,36,36
260,botA,0.196,0.292,0.324,36,36
260,botB,0.243,1.545,1.796,36,36
261,botA,0.311,0.83,1.473,36,36
261,botB,0.352,0.726,1.495,36,36
262,botA,0.366,0.527,0.775,36,36
262,botB,0.362,1.675,1.717,36,36
263,botA,0.28,1.483,1.622,36,36
263,botB,0.277,0.451,0.467,36,36
264,botA,0.234,0.639,1.516,36,36
264,botB,0.248,0.822,1.687,36,36
265,botA,0.285,0.634,1.476,36,36
265,botB,0.362,0.794,1.732,36,36
266,botA,0.28,0.652,1.457,36,36
266,botB,0.275,0.756,1.774,36,36
267,botA,0.236,0.607,1.515,36,36
267,botB,0.264,0.65,1.578,36,36
268,botA,0.274,1.104,1.931,36,36
268,botB,0.367,1.081,1.603,36,36
269,botA,0.252,1.768,1.981,36,36
269,botB,0.285,0.542,0.57,36,36
270,botA,0.328,0.733,1.537,36,36
270,botB,0.338,0.865,1.482,36,36
271,botA,0.241,1.38,1.455,36,36
271,botB,0.261,0.321,0.328,36,36
272,botA,0.251,0.308,0.324,36,36
272,botB,0.264,0.945,1.833,34,36
273,botA,0.23,1.471,1.685,36,36
273,botB,0.273,0.514,1.493,38,36
274,botA,0.196,0.629,1.643,36,36
274,botB,0.225,0.778,1.634,36,36
275,botA,0.205,0.291,0.32,36,36
275,botB,0.266,1.479,1.64,36,36
276,botA,0.215,1.507,1.541,36,34
276,botB,0.253,0.407,0.488,34,36
277,botA,0.233,0.377,0.47,36,36
277,botB,0.328,1.537,1.601,36,36
278,botA,0.33,1.567,1.823,36,38
278,botB,0.346,0.516,0.774,38,36
279,botA,0.275,0.831,1.524,36,36
279,botB,0.364,0.977,1.992,36,36
280,botA,0.243,0.623,1.466,36,36
280,botB,0.284,0.859,1.743,36,36
281,botA,0.307,0.795,1.659,36,36
281,botB,0.337,0.905,1.554,34,36
282,botA,0.218,0.325,0.332,36,36
282,botB,0.273,1.499,1.726,38,36
283,botA,0.281,1.531,1.558,36,36
283,botB,0.297,0.566,0.607,36,36
